根据 (gēnjù)	以某个为基础	根据事实，我们改了。(Gēnjù shìshí, wǒmen gǎi le.)	según, a la luz de	b2 prep hsk3
以便 (yǐbiàn)	为了使…方便	我说慢些，以便大家听懂。(Wǒ shuō màn xiē, yǐbiàn dàjiā tīngdǒng.)	de modo que	b2 conj grammar
否则 (fǒuzé)	如果不这样	请确认，否则我取消。(Qǐng quèrèn, fǒuzé wǒ qǔxiāo.)	de lo contrario	b2 conj
另一方面 (lìng yì fāngmiàn)	提出相反的角度	另一方面，成本增加了。(Lìng yì fāngmiàn…)	por otro lado	b2 chunk
即使 (jíshǐ)	就算（后面常用"也"）	即使很难，也要试。(Jíshǐ hěn nán, yě yào shì.)	aunque, incluso si	b2 conj grammar
除非 (chúfēi)	只有在…的条件下	我去，除非下雨。(Wǒ qù, chúfēi xià yǔ.)	a menos que	b2 conj grammar
只要 (zhǐyào)	有这个条件就够	只要你来，我就去。(Zhǐyào nǐ lái, wǒ jiù qù.)	siempre que	b2 conj grammar
考虑到 (kǎolǜ dào)	把某点算进去	要考虑到背景。(Yào kǎolǜ dào bèijǐng.)	tener en cuenta	b2 verb chunk
落实 (luòshí)	把计划变成行动	他们落实了计划。(Tāmen luòshí le jìhuà.)	poner en práctica	b2 verb
有待改进 (yǒu dài gǎijìn)	还不够好	服务有待改进。(Fúwù yǒu dài gǎijìn.)	deja que desear	b2 chunk
牢记 (láojì)	一直记住	牢记截止日期。(Láojì jiézhǐ rìqī.)	tener en mente	b2 verb
受到 (shòudào)	承受某种作用	这件事受到调查。(Zhè jiàn shì shòudào diàochá.)	ser objeto de	b2 verb hsk4
留下 (liúxià)	使剩下；留出	文字留下了疑问。(Wénzì liúxià le yíwèn.)	dejar (lugar a)	b2 verb
冒风险 (mào fēngxiǎn)	让自己面对危险	我们冒了失去一切的风险。(Wǒmen mào le shīqù yíqiè de fēngxiǎn.)	correr el riesgo	b2 verb chunk
采取措施 (cǎiqǔ cuòshī)	正式行动	公司采取了必要措施。(Gōngsī cǎiqǔ le bìyào cuòshī.)	tomar medidas	b2 verb chunk civic
放弃权利 (fàngqì quánlì)	不再主张某个资格	他放弃了这个权利。(Tā fàngqì le zhège quánlì.)	renunciar a un derecho	b2 chunk civic
泡汤 (pào tāng)	计划失败（口语）	项目泡汤了。(Xiàngmù pào tāng le.)	irse al agua	b2 idiom
说错话 (shuō cuò huà)	说了不该说的	他在大家面前说错话了。(Tā zài dàjiā miànqián shuō cuò huà le.)	meter la pata	b2 chunk
小心谨慎 (xiǎoxīn jǐnshèn)	非常谨慎	这个话题要小心谨慎。(Zhège huàtí yào xiǎoxīn jǐnshèn.)	andar con pies de plomo	b2 idiom
睁一只眼闭一只眼 (zhēng yì zhī yǎn bì yì zhī yǎn)	故意不管	检查时睁一只眼闭一只眼。(Jiǎnchá shí…)	hacer la vista gorda	b2 idiom
贵得离谱 (guì de lípǔ)	价格高得不合理	房租贵得离谱。(Fángzū guì de lípǔ.)	costar un ojo de la cara	b2 chunk
大吃一惊 (dà chī yì jīng)	非常意外	听到这个我大吃一惊。(Tīngdào zhège wǒ dà chī yì jīng.)	quedarse de piedra	b2 idiom
有人脉 (yǒu rénmài)	有关系和影响	他在这行有人脉。(Tā zài zhè háng yǒu rénmài.)	tener contactos	b2 chunk
动手 (dòngshǒu)	开始做	大家都动手了。(Dàjiā dōu dòngshǒu le.)	poner manos a la obra	b2 verb
鼓起勇气 (gǔqǐ yǒngqì)	让自己有胆量	我鼓起勇气说了出来。(Wǒ gǔqǐ yǒngqì shuō le chūlái.)	armarse de valor	b2 chunk
重新考虑 (chóngxīn kǎolǜ)	再想一次	我重新考虑了决定。(Wǒ chóngxīn kǎolǜ le juédìng.)	reconsiderar	b2 chunk
实质 (shízhì)	最根本的部分	从实质上说我同意。(Cóng shízhì shang shuō wǒ tóngyì.)	esencia, fondo	b2 noun
支持 (zhīchí)	赞同并帮助	论文得到数据支持。(Lùnwén dédào shùjù zhīchí.)	apoyo; apoyar	b2 verb hsk3
细微差别 (xìwēi chābié)	很小的不同	翻译中细微差别丢了。(Fānyì zhōng xìwēi chābié diū le.)	matiz	b2 chunk
加剧 (jiājù)	变得更严重	争论加剧了。(Zhēnglùn jiājù le.)	recrudecer	b2 verb
拖延 (tuōyán)	进行得太慢	手续拖延让人生气。(Shǒuxù tuōyán ràng rén shēngqì.)	demora, lentitud	b2 noun civic
职权 (zhíquán)	职务上的权限	这不在我的职权内。(Zhè bú zài wǒ de zhíquán nèi.)	competencia	b2 noun civic
对价 (duìjià)	交换中给出的东西	他要求对价。(Tā yāoqiú duìjià.)	contrapartida	b2 noun
欠款 (qiànkuǎn)	没有付的钱	欠款增加了。(Qiànkuǎn zēngjiā le.)	impago, deuda	b2 noun money
落差 (luòchā)	两者之间的差距	工资和通胀有落差。(Gōngzī hé tōngzhàng yǒu luòchā.)	desfase	b2 noun money
然而 (rán'ér)	但是（书面）	然而，还要谨慎。(Rán'ér, hái yào jǐnshèn.)	no obstante	b2 conj
反之 (fǎnzhī)	相反地	反之，成本会下降。(Fǎnzhī, chéngběn huì xiàjiàng.)	por el contrario	b2 conj
固然 (gùrán)	承认一点再转折	固然贵，但是必要。(Gùrán guì, dànshì bìyào.)	ciertamente, si bien	b2 conj
今后 (jīnhòu)	从现在起以后	今后进入受限。(Jīnhòu jìnrù shòuxiàn.)	de ahora en adelante	b2 noun
特别是 (tèbié shì)	尤其	特别是在严重的情况下。(Tèbié shì zài yánzhòng de qíngkuàng xià.)	en particular	b2 chunk
勉强 (miǎnqiǎng)	很吃力才做到	他勉强及格。(Tā miǎnqiǎng jígé.)	a duras penas	b2 adv
逐步 (zhúbù)	一步一步地	情况逐步好转。(Qíngkuàng zhúbù hǎozhuǎn.)	progresivamente	b2 adv
一开始 (yì kāishǐ)	最初	一开始他就拒绝了。(Yì kāishǐ tā jiù jùjué le.)	de entrada	b2 chunk
尽管如此 (jǐnguǎn rúcǐ)	虽然这样	尽管如此，还是失败了。(Jǐnguǎn rúcǐ, háishi shībài le.)	a pesar de ello	b2 chunk
由于缺乏 (yóuyú quēfá)	因为没有足够的	由于缺乏时间，我们简化了。(Yóuyú quēfá shíjiān…)	por falta de	b2 chunk
此外 (cǐwài)	除此以外（书面）	此外，问题依然存在。(Cǐwài, wèntí yīrán cúnzài.)	por lo demás, además	b2 conj
与…一样 (yǔ… yíyàng)	和某者相同	与邻国一样，这个国家也反应了。(Yǔ línguó yíyàng…)	al igual que	b2 chunk
有待核实 (yǒu dài héshí)	还要确认	同意，但有待核实。(Tóngyì, dàn yǒu dài héshí.)	a reserva de verificación	b2 chunk
偶然 (ǒurán)	没有计划地发生	这纯属偶然。(Zhè chún shǔ ǒurán.)	casualidad, azar	b2 adj
依然 (yīrán)	还是那样（书面）	问题依然严重。(Wèntí yīrán yánzhòng.)	todavía, sigue siendo	b2 adv
显著 (xiǎnzhù)	很明显	有显著的进步。(Yǒu xiǎnzhù de jìnbù.)	notable, significativo	b2 adj awl
若干 (ruògān)	一些，数量不定（书面）	提出了若干建议。(Tíchū le ruògān jiànyì.)	varios, algunos	b2 adj
予以 (yǔyǐ)	给予（书面）	对此予以说明。(Duì cǐ yǔyǐ shuōmíng.)	dar, otorgar	b2 verb
致使 (zhìshǐ)	导致（书面）	疏忽致使损失扩大。(Shūhu zhìshǐ sǔnshī kuòdà.)	causar que	b2 verb
权衡 (quánhéng)	比较得失后决定	要权衡利弊。(Yào quánhéng lìbì.)	ponderar, sopesar	b2 verb
赔偿 (péicháng)	因造成损失而付钱	我们要求赔偿损失。(Wǒmen yāoqiú péicháng sǔnshī.)	indemnización	b2 noun civic
