à la lumière de (loc.)	en se fondant sur	À la lumière des faits, nous changeons.	a la luz de	b2 conj chunk
de sorte que (loc.)	de manière que	J'ai parlé lentement, de sorte qu'ils comprennent.	de modo que	b2 conj chunk
sinon (conj.)	dans le cas contraire	Confirme, sinon j'annule.	si no	b2 conj
par ailleurs (loc.)	d'autre part	Par ailleurs, le coût augmente.	por otra parte	b2 conj chunk
quoique (conj.)	bien que (soutenu)	Quoiqu'il soit tard, continuons.	si bien	b2 conj grammar
à moins que (conj.)	sauf si (exige le subjonctif)	J'irai, à moins qu'il ne pleuve.	a menos que	b2 conj grammar
pour peu que (conj.)	à condition que	Pour peu qu'on l'aide, il réussira.	con solo que	b2 conj grammar
tenir compte de (loc.)	considérer	Tenez compte du contexte.	tener en cuenta	b2 verb chunk
mettre en pratique (loc.)	exécuter	Ils ont mis le plan en pratique.	poner en práctica	b2 verb chunk
laisser à désirer (loc.)	être décevant	Le service laisse à désirer.	dejar que desear	b2 verb chunk
garder à l'esprit (loc.)	ne pas oublier	Gardez à l'esprit le délai.	tener en mente	b2 verb chunk
faire l'objet de (loc.)	être soumis à	Le dossier fait l'objet d'une enquête.	ser objeto de	b2 verb chunk
donner lieu à (loc.)	provoquer	Le texte donne lieu à des doutes.	dar lugar a	b2 verb chunk
courir le risque de (loc.)	s'exposer à	Nous courons le risque de tout perdre.	correr el riesgo de	b2 verb chunk
prendre les mesures nécessaires (loc.)	agir formellement	L'entreprise a pris les mesures nécessaires.	tomar las medidas oportunas	b2 verb chunk civic
renoncer à (loc.)	abandonner un droit	Il a renoncé à son poste.	renunciar a	b2 verb chunk
tomber à l'eau (loc.)	échouer	Le projet est tombé à l'eau.	irse al agua	b2 idiom
mettre les pieds dans le plat (loc.)	aborder un sujet gênant sans tact	Il a mis les pieds dans le plat.	meter la pata	b2 idiom
marcher sur des œufs (loc.)	agir avec beaucoup de prudence	Sur ce sujet, il faut marcher sur des œufs.	andar con pies de plomo	b2 idiom
fermer les yeux sur (loc.)	ignorer volontairement	Le contrôle a fermé les yeux sur l'erreur.	hacer la vista gorda	b2 idiom
coûter les yeux de la tête (loc.)	être très cher	Le loyer coûte les yeux de la tête.	costar un ojo de la cara	b2 idiom
tomber des nues (loc.)	être stupéfait	Je suis tombé des nues en l'apprenant.	quedarse de piedra	b2 idiom
avoir le bras long (loc.)	avoir de l'influence	Il a le bras long dans ce milieu.	tener enchufe	b2 idiom
mettre la main à la pâte (loc.)	participer au travail	Tout le monde a mis la main à la pâte.	poner manos a la obra	b2 idiom
prendre son courage à deux mains (loc.)	se décider malgré la peur	J'ai pris mon courage à deux mains.	armarse de valor	b2 idiom
revenir sur (loc.)	reconsidérer ; reparler de	Je reviens sur ma décision.	volver sobre	b2 verb chunk
fond (n.m.)	essence, substance ; le fond d'un lieu	Sur le fond, je suis d'accord.	fondo	b2 noun
appui (n.m.)	soutien	La thèse a l'appui des données.	apoyo	b2 noun
nuance (n.f.)	différence fine	La nuance s'est perdue à la traduction.	matiz	b2 noun
durcissement (n.m.)	intensification, raidissement	Un durcissement du débat.	endurecimiento	b2 noun
lenteur (n.f.)	fait d'être lent	La lenteur de la procédure irrite.	lentitud	b2 noun civic
compétence (n.f.)	capacité ; domaine d'autorité	Ce n'est pas de ma compétence.	competencia	b2 noun civic
contrepartie (n.f.)	ce qu'on donne en échange	Il a demandé une contrepartie.	contrapartida	b2 noun
indemnisation (n.f.)	compensation d'un dommage	Nous demandons une indemnisation.	indemnización	b2 noun civic
impayé (n.m.)	facture non réglée	Les impayés ont augmenté.	impago	b2 noun money
décalage (n.m.)	écart, désajustement	Il y a un décalage entre salaire et inflation.	desfase	b2 noun money
néanmoins (adv.)	cependant (soutenu)	Néanmoins, il faut rester prudent.	no obstante	b2 adv
toutefois (adv.)	cependant	Toutefois, les risques persistent.	sin embargo	b2 adv
voire (adv.)	et même	C'est difficile, voire impossible.	incluso, o incluso	b2 adv
certes (adv.)	admettant un point avant d'objecter	Certes, c'est coûteux, mais nécessaire.	ciertamente, sí	b2 adv
dorénavant (adv.)	à partir de maintenant	Dorénavant, l'accès est restreint.	de ahora en adelante	b2 adv
notamment (adv.)	en particulier	Notamment dans les cas graves.	en particular	b2 adv
guère (adv.)	pas beaucoup (avec ne)	Il n'y a guère de solutions.	apenas	b2 adv
quant à (loc.)	en ce qui concerne	Quant au budget, il faudra revoir.	en cuanto a	b2 prep chunk
au fur et à mesure (loc.)	progressivement, à mesure que	Au fur et à mesure, ça s'améliore.	a medida que	b2 adv chunk
d'emblée (loc.)	dès le début	D'emblée, il a refusé.	de entrada	b2 adv chunk
en dépit de (loc.)	malgré (soutenu)	En dépit des efforts, ça a échoué.	a pesar de	b2 prep chunk
faute de (loc.)	par manque de	Faute de temps, nous avons abrégé.	por falta de	b2 prep chunk
au demeurant (loc.)	par ailleurs (très soutenu)	Au demeurant, la question reste ouverte.	por lo demás	b2 adv chunk
à l'instar de (loc.)	à l'exemple de	À l'instar de ses voisins, le pays a réagi.	al igual que	b2 prep chunk
sous réserve de (loc.)	à condition de	Accord donné, sous réserve de vérification.	a reserva de	b2 prep chunk
hasard (n.m.)	ce qui arrive sans cause prévue	C'était un pur hasard.	azar, casualidad	b2 noun
